max_spout,spliters,counters,throughput
1,6,3,7680.7
1,6,4,7690.8
1,6,5,7532.7
1,6,6,7767.2
1,6,7,7767.6
1,6,8,7104.5
1,6,9,7381.6
1,6,10,7591
1,6,11,7037.9
1,6,12,7165.7
1,6,13,7197.3
1,6,14,6914.1
1,6,15,7042.3
1,6,16,7150.8
1,6,17,6858.3
1,6,18,6857.8
10,1,1,28203
10,1,2,30487
10,1,3,28894
10,1,4,28996
10,1,5,28189
10,1,6,28862
10,1,7,29503
10,1,8,28536
10,1,9,28657
10,1,10,28244
10,1,11,27273
10,1,12,28007
10,1,13,27695
10,1,14,27587
10,1,15,27492
10,1,16,27584
10,1,17,27657
10,1,18,27734
10,2,1,28180
10,2,2,32999
10,2,3,34032
10,2,4,31513
10,2,5,32465
10,2,6,32716
10,2,7,31642
10,2,8,31045
10,2,9,30945
10,2,10,31649
10,2,11,30705
10,2,12,30864
10,2,13,30675
10,2,14,29973
10,2,15,31084
10,2,16,30324
10,2,17,29708
10,2,18,30311
10,3,1,29324
10,3,2,32680
10,3,3,31820
10,3,4,32064
10,3,5,30710
10,3,6,30616
10,3,7,30044
10,3,8,30063
10,3,9,30268
10,3,10,30507
10,3,11,30027
10,3,12,29980
10,3,13,29956
10,3,14,29954
10,3,15,30182
10,3,16,29242
10,3,17,29452
10,3,18,29004
10,4,1,28420
10,4,2,29418
10,4,3,30954
10,4,4,30830
10,4,5,30406
10,4,6,30674
10,4,7,30177
10,4,8,29361
10,4,9,30121
10,4,10,29304
10,4,11,29849
10,4,12,30191
10,4,13,29871
10,4,14,30010
10,4,15,29159
10,4,16,28586
10,4,17,28135
10,4,18,28001
10,5,1,29790
10,5,2,31548
10,5,3,28968
10,5,4,30228
10,5,5,31592
10,5,6,30234
10,5,7,29903
10,5,8,30839
10,5,9,30321
10,5,10,30269
10,5,11,28365
10,5,12,28589
10,5,13,28871
10,5,14,28961
10,5,15,28524
10,5,16,29568
10,5,17,28762
10,5,18,28791
10,6,1,30328
10,6,2,34466
10,6,3,33660
10,6,4,32233
10,6,5,32256
10,6,6,31394
10,6,7,31102
10,6,8,31859
10,6,9,31656
10,6,10,31625
10,6,11,30909
10,6,12,31526
10,6,13,30842
10,6,14,30848
10,6,15,30885
10,6,16,30727
10,6,17,29777
10,6,18,30611
100,1,1,45494
100,1,2,46286
100,1,3,49918
100,1,4,46717
100,1,5,47456
100,1,6,51659
100,1,7,52115
100,1,8,51198
100,1,9,55090
100,1,10,53349
100,1,11,55611
100,1,12,53898
100,1,13,54443
100,1,14,53658
100,1,15,54676
100,1,16,55413
100,1,17,53428
100,1,18,54025
100,2,1,39997
100,2,2,46785
100,2,3,48120
100,2,4,45332
100,2,5,47051
100,2,6,47652
100,2,7,51649
100,2,8,47480
100,2,9,52608
100,2,10,54155
100,2,11,57860
100,2,12,54774
100,2,13,57293
100,2,14,55727
100,2,15,55625
100,2,16,57972
100,2,17,55616
100,2,18,55966
100,3,1,46137
100,3,2,51763
100,3,3,45752
100,3,4,45557
100,3,5,48057
100,3,6,52614
100,3,7,49943
100,3,8,53673
100,3,9,53573
100,3,10,54352
100,3,11,54634
100,3,12,55048
100,3,13,55170
100,3,14,55033
100,3,15,54598
100,3,16,54903
100,3,17,53660
100,3,18,54581
100,4,1,46605
100,4,2,33592
100,4,3,39276
100,4,4,42733
100,4,5,46977
100,4,6,49121
100,4,7,54730
100,4,8,49490
100,4,9,49746
100,4,10,50731
100,4,11,54203
100,4,12,50747
100,4,13,52643
100,4,14,50767
100,4,15,52719
100,4,16,52702
100,4,17,53212
100,4,18,50439
100,5,1,30879
100,5,2,36286
100,5,3,40247
100,5,4,39310
100,5,5,45951
100,5,6,44432
100,5,7,48844
100,5,8,52163
100,5,9,52754
100,5,10,52505
100,5,11,53875
100,5,12,52862
100,5,13,50365
100,5,14,50797
100,5,15,52117
100,5,16,49782
100,5,17,53022
100,5,18,51769
100,6,1,46071
100,6,2,51600
100,6,3,44198
100,6,4,43909
100,6,5,46010
100,6,6,46332
100,6,7,40728
100,6,8,47814
100,6,9,45665
100,6,10,45027
100,6,11,46910
100,6,12,47366
100,6,13,46496
100,6,14,48914
100,6,15,46076
100,6,16,46773
100,6,17,42239
100,6,18,45666
1000,1,1,50502
1000,1,2,53086
1000,1,3,53398
1000,1,4,52119
1000,1,5,54852
1000,1,6,55423
1000,1,7,58797
1000,1,8,53505
1000,1,9,63205
1000,1,10,58738
1000,1,11,64284
1000,1,12,66743
1000,1,13,67571
1000,1,14,67553
1000,1,15,65559
1000,1,16,70644
1000,1,17,64267
1000,1,18,67460
1000,2,1,41689
1000,2,2,47925
1000,2,3,51798
1000,2,4,48976
1000,2,5,50993
1000,2,6,53012
1000,2,7,56569
1000,2,8,49891
1000,2,9,57605
1000,2,10,56649
1000,2,11,61353
1000,2,12,62880
1000,2,13,66556
1000,2,14,63127
1000,2,15,66965
1000,2,16,63510
1000,2,17,69097
1000,2,18,65133
1000,3,1,53563
1000,3,2,60799
1000,3,3,45915
1000,3,4,49313
1000,3,5,50915
1000,3,6,56000
1000,3,7,48022
1000,3,8,58304
1000,3,9,57754
1000,3,10,55308
1000,3,11,58614
1000,3,12,60301
1000,3,13,59795
1000,3,14,60581
1000,3,15,57738
1000,3,16,59858
1000,3,17,59539
1000,3,18,60789
1000,4,1,52846
1000,4,2,34221
1000,4,3,38038
1000,4,4,43890
1000,4,5,48125
1000,4,6,51426
1000,4,7,59354
1000,4,8,53299
1000,4,9,55281
1000,4,10,55124
1000,4,11,57962
1000,4,12,54865
1000,4,13,58388
1000,4,14,55946
1000,4,15,57265
1000,4,16,60322
1000,4,17,61043
1000,4,18,56956
1000,5,1,30328
1000,5,2,38185
1000,5,3,41825
1000,5,4,39442
1000,5,5,49159
1000,5,6,49558
1000,5,7,54866
1000,5,8,55600
1000,5,9,57228
1000,5,10,54189
1000,5,11,56833
1000,5,12,55750
1000,5,13,59666
1000,5,14,56967
1000,5,15,59100
1000,5,16,53494
1000,5,17,59520
1000,5,18,59279
1000,6,1,51216
1000,6,2,54774
1000,6,3,43097
1000,6,4,45218
1000,6,5,44651
1000,6,6,44860
1000,6,7,40440
1000,6,8,49745
1000,6,9,47213
1000,6,10,45031
1000,6,11,48956
1000,6,12,48093
1000,6,13,48802
1000,6,14,51732
1000,6,15,49308
1000,6,16,45229
1000,6,17,44658
1000,6,18,47309
10000,1,1,50789
10000,1,2,58503
10000,1,3,56933
10000,1,4,64087
10000,1,5,63080
10000,1,6,63667
10000,1,7,59942
10000,1,8,62588
10000,1,9,64300
10000,1,10,64422
10000,1,11,65911
10000,1,12,62552
10000,1,13,64277
10000,1,14,63240
10000,1,15,65670
10000,1,16,65010
10000,1,17,61870
10000,1,18,64152
10000,2,1,37052
10000,2,2,48986
10000,2,3,61616
10000,2,4,52942
10000,2,5,56752
10000,2,6,64663
10000,2,7,66185
10000,2,8,57685
10000,2,9,66839
10000,2,10,67768
10000,2,11,73286
10000,2,12,74141
10000,2,13,71459
10000,2,14,75596
10000,2,15,79489
10000,2,16,72028
10000,2,17,78121
10000,2,18,77751
10000,3,1,51479
10000,3,2,63569
10000,3,3,40776
10000,3,4,53813
10000,3,5,52020
10000,3,6,53857
10000,3,7,49894
10000,3,8,58858
10000,3,9,57998
10000,3,10,54797
10000,3,11,58125
10000,3,12,58415
10000,3,13,58653
10000,3,14,57828
10000,3,15,58308
10000,3,16,57894
10000,3,17,55429
10000,3,18,57586
10000,4,1,55902
10000,4,2,32762
10000,4,3,36455
10000,4,4,39796
10000,4,5,44606
10000,4,6,47779
10000,4,7,58163
10000,4,8,46546
10000,4,9,53002
10000,4,10,52129
10000,4,11,54605
10000,4,12,53132
10000,4,13,58281
10000,4,14,54537
10000,4,15,55474
10000,4,16,58658
10000,4,17,56387
10000,4,18,53160
10000,5,1,26744
10000,5,2,34867
10000,5,3,36517
10000,5,4,36179
10000,5,5,46750
10000,5,6,49070
10000,5,7,51277
10000,5,8,53575
10000,5,9,54385
10000,5,10,56353
10000,5,11,56989
10000,5,12,56196
10000,5,13,55044
10000,5,14,56405
10000,5,15,54627
10000,5,16,52794
10000,5,17,56302
10000,5,18,55113
10000,6,1,56278
10000,6,2,53858
10000,6,3,42753
10000,6,4,43014
10000,6,5,43547
10000,6,6,44504
10000,6,7,40972
10000,6,8,48377
10000,6,9,45982
10000,6,10,45921
10000,6,11,46686
10000,6,12,44764
10000,6,13,46248
10000,6,14,47003
10000,6,15,48354
10000,6,16,48431
10000,6,17,45751
10000,6,18,46995
1.00E+05,1,1,45189
1.00E+05,1,2,56635
1.00E+05,1,3,59297
1.00E+05,1,4,60895
1.00E+05,1,5,60465
1.00E+05,1,6,64450
1.00E+05,1,7,61873
1.00E+05,1,8,62165
1.00E+05,1,9,67355
1.00E+05,1,10,65424
1.00E+05,1,11,67729
1.00E+05,1,12,65922
1.00E+05,1,13,65445
1.00E+05,1,14,65736
1.00E+05,1,15,64561
1.00E+05,1,16,63390
1.00E+05,1,17,61329
1.00E+05,1,18,66943
1.00E+05,2,1,36915
1.00E+05,2,2,47481
1.00E+05,2,3,58901
1.00E+05,2,4,51258
1.00E+05,2,5,61746
1.00E+05,2,6,62921
1.00E+05,2,7,65050
1.00E+05,2,8,61056
1.00E+05,2,9,70997
1.00E+05,2,10,64860
1.00E+05,2,11,76492
1.00E+05,2,12,79475
1.00E+05,2,13,76190
1.00E+05,2,14,75299
1.00E+05,2,15,81320
1.00E+05,2,16,70660
1.00E+05,2,17,83057
1.00E+05,2,18,78561
1.00E+05,3,1,49647
1.00E+05,3,2,64186
1.00E+05,3,3,43551
1.00E+05,3,4,53934
1.00E+05,3,5,50951
1.00E+05,3,6,54630
1.00E+05,3,7,43754
1.00E+05,3,8,57748
1.00E+05,3,9,57433
1.00E+05,3,10,55855
1.00E+05,3,11,58079
1.00E+05,3,12,56804
1.00E+05,3,13,57626
1.00E+05,3,14,59394
1.00E+05,3,15,57327
1.00E+05,3,16,59252
1.00E+05,3,17,54411
1.00E+05,3,18,58816
1.00E+05,4,1,47322
1.00E+05,4,2,33020
1.00E+05,4,3,36917
1.00E+05,4,4,40355
1.00E+05,4,5,44360
1.00E+05,4,6,48289
1.00E+05,4,7,55388
1.00E+05,4,8,51106
1.00E+05,4,9,52139
1.00E+05,4,10,54938
1.00E+05,4,11,55317
1.00E+05,4,12,54068
1.00E+05,4,13,55815
1.00E+05,4,14,55063
1.00E+05,4,15,55649
1.00E+05,4,16,57492
1.00E+05,4,17,58359
1.00E+05,4,18,52242
1.00E+05,5,1,28325
1.00E+05,5,2,34813
1.00E+05,5,3,36113
1.00E+05,5,4,33910
1.00E+05,5,5,44880
1.00E+05,5,6,45710
1.00E+05,5,7,50286
1.00E+05,5,8,53160
1.00E+05,5,9,55332
1.00E+05,5,10,55095
1.00E+05,5,11,54720
1.00E+05,5,12,58277
1.00E+05,5,13,53807
1.00E+05,5,14,52484
1.00E+05,5,15,55162
1.00E+05,5,16,54569
1.00E+05,5,17,57302
1.00E+05,5,18,55594
1.00E+05,6,1,51230
1.00E+05,6,2,55380
1.00E+05,6,3,43781
1.00E+05,6,4,43977
1.00E+05,6,5,42988
1.00E+05,6,6,43286
1.00E+05,6,7,38731
1.00E+05,6,8,47573
1.00E+05,6,9,45395
1.00E+05,6,10,44348
1.00E+05,6,11,48833
1.00E+05,6,12,44941
1.00E+05,6,13,46049
1.00E+05,6,14,45790
1.00E+05,6,15,47606
1.00E+05,6,16,47476
1.00E+05,6,17,44254
1.00E+05,6,18,47520
1.00E+06,1,1,66418
1.00E+06,1,2,56541
1.00E+06,1,3,63021
1.00E+06,1,4,62740
1.00E+06,1,5,69014
1.00E+06,1,6,67297
1.00E+06,1,7,65052
1.00E+06,1,8,73308
1.00E+06,1,9,82905
1.00E+06,1,10,73506
1.00E+06,1,11,93548
1.00E+06,1,12,85232
1.00E+06,1,13,81950
1.00E+06,1,14,95094
1.00E+06,1,15,85140
1.00E+06,1,16,70303
1.00E+06,1,17,78498
1.00E+06,1,18,82514
1.00E+06,2,1,36750
1.00E+06,2,2,57085
1.00E+06,2,3,61824
1.00E+06,2,4,55321
1.00E+06,2,5,63131
1.00E+06,2,6,68913
1.00E+06,2,7,71997
1.00E+06,2,8,80544
1.00E+06,2,9,80590
1.00E+06,2,10,90483
1.00E+06,2,11,78731
1.00E+06,2,12,79508
1.00E+06,2,13,72768
1.00E+06,2,14,87119
1.00E+06,2,15,77306
1.00E+06,2,16,69749
1.00E+06,2,17,91538
1.00E+06,2,18,81840
1.00E+06,3,1,72271
1.00E+06,3,2,64297
1.00E+06,3,3,43923
1.00E+06,3,4,52085
1.00E+06,3,5,50224
1.00E+06,3,6,55815
1.00E+06,3,7,50375
1.00E+06,3,8,58117
1.00E+06,3,9,58277
1.00E+06,3,10,56862
1.00E+06,3,11,57489
1.00E+06,3,12,58792
1.00E+06,3,13,58196
1.00E+06,3,14,59461
1.00E+06,3,15,59941
1.00E+06,3,16,54812
1.00E+06,3,17,56236
1.00E+06,3,18,57632
1.00E+06,4,1,73975
1.00E+06,4,2,31507
1.00E+06,4,3,37308
1.00E+06,4,4,41062
1.00E+06,4,5,41780
1.00E+06,4,6,46966
1.00E+06,4,7,55725
1.00E+06,4,8,49519
1.00E+06,4,9,51861
1.00E+06,4,10,54489
1.00E+06,4,11,54485
1.00E+06,4,12,53634
1.00E+06,4,13,54540
1.00E+06,4,14,55471
1.00E+06,4,15,56222
1.00E+06,4,16,56789
1.00E+06,4,17,55664
1.00E+06,4,18,55566
1.00E+06,5,1,28155
1.00E+06,5,2,36078
1.00E+06,5,3,36871
1.00E+06,5,4,34482
1.00E+06,5,5,48852
1.00E+06,5,6,42877
1.00E+06,5,7,49609
1.00E+06,5,8,53027
1.00E+06,5,9,55087
1.00E+06,5,10,54691
1.00E+06,5,11,53942
1.00E+06,5,12,54673
1.00E+06,5,13,54479
1.00E+06,5,14,50915
1.00E+06,5,15,54619
1.00E+06,5,16,52914
1.00E+06,5,17,56517
1.00E+06,5,18,54890
1.00E+06,6,1,55673
1.00E+06,6,2,53945
1.00E+06,6,3,43784
1.00E+06,6,4,45085
1.00E+06,6,5,42758
1.00E+06,6,6,43657
1.00E+06,6,7,39864
1.00E+06,6,8,46245
1.00E+06,6,9,45737
1.00E+06,6,10,45823
1.00E+06,6,11,45294
1.00E+06,6,12,45814
1.00E+06,6,13,47157
1.00E+06,6,14,48325
1.00E+06,6,15,50244
1.00E+06,6,16,47353
1.00E+06,6,17,45327
1.00E+06,6,18,47878
