spout_wait,spliters,counters,throughput
2,1,4,12507
2,1,5,13998
2,1,6,12043
2,1,7,12766
2,1,8,14679
2,1,9,13015
2,1,10,13940
2,1,11,16112
2,1,12,13566
2,1,13,13554
2,1,14,16567
2,1,15,13883
2,1,16,14072
2,1,17,16256
2,1,18,13858
2,2,1,9093.2
2,2,2,11914
2,2,3,12954
2,2,4,14545
2,2,5,14916
2,2,6,14743
2,2,7,15682
2,2,8,16853
2,2,9,15583
2,2,10,17373
2,2,11,17310
2,2,12,16945
2,2,13,17908
2,2,14,18040
2,2,15,16557
2,2,16,18510
2,2,17,19269
2,2,18,17493
2,3,1,8506.4
2,3,2,12453
2,3,3,14913
2,3,4,14668
2,3,5,15768
2,3,6,15960
2,3,7,15743
2,3,8,16592
2,3,9,17332
2,3,10,18007
2,3,11,17883
2,3,12,18862
2,3,13,18608
2,3,14,18380
2,3,15,19434
2,3,16,19199
2,3,17,19203
2,3,18,19432
2,4,1,8602.2
2,4,2,12513
2,4,3,14814
2,4,4,13608
2,4,5,14505
2,4,6,16542
2,4,7,16129
2,4,8,17221
2,4,9,17995
2,4,10,18969
2,4,11,17455
2,4,12,19018
2,4,13,19090
2,4,14,18913
2,4,15,20094
2,4,16,19321
2,4,17,19333
2,4,18,19208
2,5,1,8853.8
2,5,2,12244
2,5,3,14911
2,5,4,15386
2,5,5,15624
2,5,6,15345
2,5,7,16456
2,5,8,16596
2,5,9,17453
2,5,10,17943
2,5,11,18073
2,5,12,17881
2,5,13,18751
2,5,14,18567
2,5,15,19421
2,5,16,18652
2,5,17,20209
2,5,18,19959
2,6,1,8800.9
2,6,2,12617
2,6,3,14421
2,6,4,14834
2,6,5,15850
2,6,6,16530
2,6,7,16515
2,6,8,17343
2,6,9,18191
2,6,10,19480
2,6,11,18076
2,6,12,19354
2,6,13,19893
2,6,14,18865
2,6,15,20164
2,6,16,19422
2,6,17,21842
2,6,18,18139
3,1,1,8220.5
3,1,2,12297
3,1,3,12566
3,1,4,12158
3,1,5,14633
3,1,6,12046
3,1,7,12308
3,1,8,14672
3,1,9,13297
3,1,10,14066
3,1,11,15143
3,1,12,13273
3,1,13,13984
3,1,14,16371
3,1,15,14704
3,1,16,12693
3,1,17,18214
3,1,18,14088
3,2,1,8807.9
3,2,2,12331
3,2,3,12472
3,2,4,15170
3,2,5,15828
3,2,6,15182
3,2,7,16035
3,2,8,17097
3,2,9,15911
3,2,10,17240
3,2,11,17616
3,2,12,16383
3,2,13,17653
3,2,14,17518
3,2,15,17707
3,2,16,19593
3,2,17,19555
3,2,18,17926
3,3,1,9017.3
3,3,2,13119
3,3,3,14959
3,3,4,14548
3,3,5,15029
3,3,6,15827
3,3,7,16580
3,3,8,17085
3,3,9,17656
3,3,10,18421
3,3,11,17772
3,3,12,19040
3,3,13,19845
3,3,14,18144
3,3,15,20971
3,3,16,19103
3,3,17,20360
3,3,18,19775
3,4,1,9137.1
3,4,2,12591
3,4,3,14792
3,4,4,15613
3,4,5,15856
3,4,6,16214
3,4,7,16355
3,4,8,17333
3,4,9,18002
3,4,10,19287
3,4,11,17715
3,4,12,19536
3,4,13,17653
3,4,14,19116
3,4,15,19353
3,4,16,20035
3,4,17,20636
3,4,18,19784
3,5,1,8928.5
3,5,2,12773
3,5,3,14910
3,5,4,15312
3,5,5,15810
3,5,6,16402
3,5,7,16846
3,5,8,16913
3,5,9,17888
3,5,10,18636
3,5,11,18177
3,5,12,19548
3,5,13,19162
3,5,14,19311
3,5,15,20593
3,5,16,19967
3,5,17,20674
3,5,18,20683
3,6,1,8326.6
3,6,2,12603
3,6,3,14618
3,6,4,15466
3,6,5,16059
3,6,6,16526
3,6,7,16084
3,6,8,17687
3,6,9,18400
3,6,10,19187
3,6,11,19227
3,6,12,20070
3,6,13,19814
3,6,14,18948
3,6,15,19391
3,6,16,19563
3,6,17,22060
3,6,18,21262
4,1,1,8823.4
4,1,2,12185
4,1,3,12938
4,1,4,12029
4,1,5,14879
4,1,6,13797
4,1,7,13781
4,1,8,14252
4,1,9,13562
4,1,10,13889
4,1,11,15581
4,1,12,14072
4,1,13,14385
4,1,14,16755
4,1,15,14354
4,1,16,14891
4,1,17,18081
4,1,18,14346
4,2,1,9228.7
4,2,2,12491
4,2,3,13479
4,2,4,15091
4,2,5,15360
4,2,6,14720
4,2,7,16783
4,2,8,16881
4,2,9,16004
4,2,10,17799
4,2,11,17917
4,2,12,16121
4,2,13,19047
4,2,14,18417
4,2,15,17926
4,2,16,19167
4,2,17,19510
4,2,18,17820
4,3,1,9356.2
4,3,2,13013
4,3,3,14984
4,3,4,14536
4,3,5,15654
4,3,6,16283
4,3,7,16810
4,3,8,16950
4,3,9,18216
4,3,10,18983
4,3,11,18561
4,3,12,18441
4,3,13,19103
4,3,14,18268
4,3,15,20030
4,3,16,19030
4,3,17,21605
4,3,18,20182
4,4,1,9527.2
4,4,2,12203
4,4,3,15042
4,4,4,15290
4,4,5,16262
4,4,6,16210
4,4,7,16742
4,4,8,17659
4,4,9,17973
4,4,10,19050
4,4,11,19209
4,4,12,19112
4,4,13,20134
4,4,14,18605
4,4,15,20582
4,4,16,20060
4,4,17,21687
4,4,18,20710
4,5,1,9560.1
4,5,2,12668
4,5,3,15110
4,5,4,15404
4,5,5,15577
4,5,6,16918
4,5,7,16961
4,5,8,17204
4,5,9,17479
4,5,10,18873
4,5,11,18227
4,5,12,19633
4,5,13,19578
4,5,14,19639
4,5,15,20916
4,5,16,18676
4,5,17,21488
4,5,18,20166
4,6,1,9039.4
4,6,2,12779
4,6,3,15333
4,6,4,15648
4,6,5,15741
4,6,6,16253
4,6,7,16851
4,6,8,17559
4,6,9,18203
4,6,10,19479
4,6,11,18891
4,6,12,19705
4,6,13,19942
4,6,14,20253
4,6,15,20591
4,6,16,20451
4,6,17,21629
4,6,18,21759
5,1,1,8785.9
5,1,2,12419
5,1,3,13658
5,1,4,12359
5,1,5,14485
5,1,6,13256
5,1,7,13024
5,1,8,15183
5,1,9,14224
5,1,10,14443
5,1,11,16926
5,1,12,14978
5,1,13,14360
5,1,14,16427
5,1,15,14763
5,1,16,14622
5,1,17,17414
5,1,18,14336
5,2,1,9314.4
5,2,2,13222
5,2,3,13744
5,2,4,14860
5,2,5,15612
5,2,6,14275
5,2,7,16747
5,2,8,16081
5,2,9,16802
5,2,10,18282
5,2,11,17492
5,2,12,17249
5,2,13,19214
5,2,14,18624
5,2,15,17585
5,2,16,19702
5,2,17,19847
5,2,18,17639
5,3,1,9461.5
5,3,2,12760
5,3,3,15168
5,3,4,15676
5,3,5,16101
5,3,6,16482
5,3,7,16631
5,3,8,17673
5,3,9,18218
5,3,10,18616
5,3,11,18113
5,3,12,19289
5,3,13,18910
5,3,14,18353
5,3,15,20419
5,3,16,19893
5,3,17,22391
5,3,18,19428
5,4,1,9285.2
5,4,2,12743
5,4,3,15186
5,4,4,15607
5,4,5,15775
5,4,6,16490
5,4,7,17128
5,4,8,17993
5,4,9,18056
5,4,10,18996
5,4,11,18231
5,4,12,19001
5,4,13,19623
5,4,14,19247
5,4,15,20414
5,4,16,19379
5,4,17,21595
5,4,18,21155
5,5,1,9270.5
5,5,2,12719
5,5,3,15595
5,5,4,15676
5,5,5,16032
5,5,6,16195
5,5,7,17570
5,5,8,17449
5,5,9,18204
5,5,10,20077
5,5,11,19349
5,5,12,19529
5,5,13,20216
5,5,14,19144
5,5,15,20974
5,5,16,19334
5,5,17,22298
5,5,18,21489
5,6,1,9361.5
5,6,2,12995
5,6,3,15180
5,6,4,16099
5,6,5,16610
5,6,6,16554
5,6,7,17031
5,6,8,17760
5,6,9,18926
5,6,10,20159
5,6,11,19565
5,6,12,20435
5,6,13,19954
5,6,14,19500
5,6,15,20572
5,6,16,19756
5,6,17,21412
5,6,18,21822
6,1,1,9179.4
6,1,2,11633
6,1,3,13805
6,1,4,12759
6,1,5,14072
6,1,6,12687
6,1,7,13847
6,1,8,15459
6,1,9,14161
6,1,10,13771
6,1,11,15407
6,1,12,13749
6,1,13,14391
6,1,14,16840
6,1,15,15014
6,1,16,14237
6,1,17,17818
6,1,18,14273
6,2,1,9114
6,2,2,12414
6,2,3,13566
6,2,4,15164
6,2,5,15739
6,2,6,14991
6,2,7,16818
6,2,8,17107
6,2,9,16277
6,2,10,18559
6,2,11,17694
6,2,12,16895
6,2,13,19408
6,2,14,18113
6,2,15,18242
6,2,16,19615
6,2,17,20425
6,2,18,17707
6,3,1,9943
6,3,2,12609
6,3,3,14404
6,3,4,15492
6,3,5,16033
6,3,6,16480
6,3,7,17164
6,3,8,17696
6,3,9,18325
6,3,10,18746
6,3,11,18655
6,3,12,19373
6,3,13,19780
6,3,14,19247
6,3,15,19994
6,3,16,19435
6,3,17,20371
6,3,18,20402
6,4,1,8935.8
6,4,2,12985
6,4,3,14833
6,4,4,15740
6,4,5,16512
6,4,6,16674
6,4,7,16280
6,4,8,16981
6,4,9,18031
6,4,10,19286
6,4,11,18674
6,4,12,19414
6,4,13,19498
6,4,14,18883
6,4,15,20326
6,4,16,20350
6,4,17,21302
6,4,18,20106
6,5,1,9999.3
6,5,2,13709
6,5,3,15659
6,5,4,15472
6,5,5,15831
6,5,6,15530
6,5,7,17520
6,5,8,17245
6,5,9,18479
6,5,10,20095
6,5,11,19788
6,5,12,19148
6,5,13,19531
6,5,14,19236
6,5,15,21082
6,5,16,19668
6,5,17,21433
6,5,18,21684
6,6,1,9523.8
6,6,2,13653
6,6,3,15529
6,6,4,15688
6,6,5,16197
6,6,6,16882
6,6,7,17261
6,6,8,17602
6,6,9,17727
6,6,10,19108
6,6,11,19495
6,6,12,20038
6,6,13,19892
6,6,14,20259
6,6,15,21412
6,6,16,21221
6,6,17,22255
6,6,18,20909
7,1,1,8941.5
7,1,2,12715
7,1,3,13816
7,1,4,12233
7,1,5,13982
7,1,6,13429
7,1,7,13422
7,1,8,15818
7,1,9,14009
7,1,10,14214
7,1,11,17033
7,1,12,13775
7,1,13,14269
7,1,14,17703
7,1,15,13955
7,1,16,14295
7,1,17,19227
7,1,18,14198
7,2,1,9294.6
7,2,2,12429
7,2,3,14373
7,2,4,15370
7,2,5,14956
7,2,6,15781
7,2,7,16165
7,2,8,17097
7,2,9,16159
7,2,10,18753
7,2,11,18081
7,2,12,17471
7,2,13,19275
7,2,14,17959
7,2,15,18042
7,2,16,20669
7,2,17,20673
7,2,18,17662
7,3,1,9545.5
7,3,2,12993
7,3,3,15295
7,3,4,15222
7,3,5,16290
7,3,6,16835
7,3,7,17098
7,3,8,17395
7,3,9,18581
7,3,10,18560
7,3,11,18362
7,3,12,19484
7,3,13,19717
7,3,14,18691
7,3,15,20757
7,3,16,20476
7,3,17,22119
7,3,18,21044
7,4,1,9806.9
7,4,2,13336
7,4,3,15573
7,4,4,16347
7,4,5,16245
7,4,6,17112
7,4,7,16671
7,4,8,17128
7,4,9,17595
7,4,10,19459
7,4,11,19619
7,4,12,19658
7,4,13,20307
7,4,14,19196
7,4,15,20288
7,4,16,19656
7,4,17,21406
7,4,18,21293
7,5,1,9911
7,5,2,13210
7,5,3,15416
7,5,4,15851
7,5,5,15925
7,5,6,16743
7,5,7,17619
7,5,8,17780
7,5,9,17917
7,5,10,18518
7,5,11,18934
7,5,12,20426
7,5,13,20090
7,5,14,18602
7,5,15,20839
7,5,16,20395
7,5,17,21396
7,5,18,21285
7,6,1,9488.6
7,6,2,13776
7,6,3,15411
7,6,4,16247
7,6,5,16080
7,6,6,16851
7,6,7,17468
7,6,8,17943
7,6,9,18573
7,6,10,19514
7,6,11,19409
7,6,12,20069
7,6,13,20802
7,6,14,19884
7,6,15,21385
7,6,16,20405
7,6,17,22171
7,6,18,21098
8,1,1,8724.8
8,1,2,12467
8,1,3,12887
8,1,4,12864
8,1,5,14983
8,1,6,13287
8,1,7,13003
8,1,8,16179
8,1,9,14181
8,1,10,15131
8,1,11,16861
8,1,12,14735
8,1,13,15152
8,1,14,17062
8,1,15,14442
8,1,16,14363
8,1,17,19303
8,1,18,13997
8,2,1,9215.1
8,2,2,13030
8,2,3,14062
8,2,4,15248
8,2,5,16060
8,2,6,15545
8,2,7,17067
8,2,8,16770
8,2,9,16869
8,2,10,18706
8,2,11,18609
8,2,12,17870
8,2,13,19200
8,2,14,18744
8,2,15,17962
8,2,16,19953
8,2,17,19245
8,2,18,18001
8,3,1,9996.4
8,3,2,13259
8,3,3,15210
8,3,4,15661
8,3,5,16742
8,3,6,16310
8,3,7,17044
8,3,8,17876
8,3,9,18424
8,3,10,18431
8,3,11,19251
8,3,12,20028
8,3,13,20017
8,3,14,19424
8,3,15,20591
8,3,16,19473
8,3,17,21004
8,3,18,20694
8,4,1,9611.9
8,4,2,12539
8,4,3,15841
8,4,4,16226
8,4,5,16945
8,4,6,16367
8,4,7,17134
8,4,8,17532
8,4,9,18960
8,4,10,19286
8,4,11,18754
8,4,12,20574
8,4,13,19675
8,4,14,19128
8,4,15,21201
8,4,16,19698
8,4,17,21847
8,4,18,20500
8,5,1,9101.3
8,5,2,13363
8,5,3,16116
8,5,4,16335
8,5,5,16135
8,5,6,15912
8,5,7,17365
8,5,8,17647
8,5,9,18941
8,5,10,19032
8,5,11,19579
8,5,12,19777
8,5,13,20863
8,5,14,19344
8,5,15,20649
8,5,16,19439
8,5,17,21828
8,5,18,20587
8,6,1,9805.8
8,6,2,13460
8,6,3,16004
8,6,4,16268
8,6,5,16973
8,6,6,16913
8,6,7,17306
8,6,8,17809
8,6,9,19047
8,6,10,18971
8,6,11,19933
8,6,12,20300
8,6,13,20710
8,6,14,19744
8,6,15,21615
8,6,16,21178
8,6,17,22887
8,6,18,22323
9,1,1,9038.4
9,1,2,12958
9,1,3,13217
9,1,4,12969
9,1,5,15014
9,1,6,14432
9,1,7,13780
9,1,8,16708
9,1,9,13854
9,1,10,14253
9,1,11,17740
9,1,12,14153
9,1,13,14237
9,1,14,17554
9,1,15,15548
9,1,16,14631
9,1,17,18035
9,1,18,15193
9,2,1,9119.2
9,2,2,13621
9,2,3,13946
9,2,4,15208
9,2,5,15337
9,2,6,15580
9,2,7,15720
9,2,8,17610
9,2,9,15836
9,2,10,18028
9,2,11,18044
9,2,12,17827
9,2,13,19210
9,2,14,19128
9,2,15,17953
9,2,16,19705
9,2,17,20515
9,2,18,17834
9,3,1,9865.6
9,3,2,13232
9,3,3,15559
9,3,4,15909
9,3,5,16556
9,3,6,17466
9,3,7,17323
9,3,8,17857
9,3,9,18594
9,3,10,20246
9,3,11,19562
9,3,12,20720
9,3,13,19623
9,3,14,19530
9,3,15,21126
9,3,16,20945
9,3,17,22430
9,3,18,21148
9,4,1,9792.8
9,4,2,12555
9,4,3,15361
9,4,4,15472
9,4,5,16296
9,4,6,17268
9,4,7,16573
9,4,8,18238
9,4,9,18358
9,4,10,18579
9,4,11,19424
9,4,12,20231
9,4,13,20225
9,4,14,18716
9,4,15,20460
9,4,16,20019
9,4,17,21317
9,4,18,21112
9,5,1,9977.5
9,5,2,13537
9,5,3,15596
9,5,4,16427
9,5,5,16561
9,5,6,16927
9,5,7,16390
9,5,8,17788
9,5,9,18515
9,5,10,20071
9,5,11,19176
9,5,12,19708
9,5,13,20223
9,5,14,19464
9,5,15,20818
9,5,16,20168
9,5,17,22419
9,5,18,20111
9,6,1,9685.8
9,6,2,13645
9,6,3,15837
9,6,4,16336
9,6,5,16678
9,6,6,17239
9,6,7,17840
9,6,8,18180
9,6,9,18139
9,6,10,19502
9,6,11,19893
9,6,12,20852
9,6,13,20492
9,6,14,19284
9,6,15,21237
9,6,16,21176
9,6,17,22799
9,6,18,22063
10,1,1,8904.2
10,1,2,12554
10,1,3,13816
10,1,4,13309
10,1,5,14497
10,1,6,12490
10,1,7,13938
10,1,8,15960
10,1,9,13426
10,1,10,14225
10,1,11,16423
10,1,12,14151
10,1,13,14791
10,1,14,17349
10,1,15,14279
10,1,16,14224
10,1,17,18746
10,1,18,15186
10,2,1,9113.5
10,2,2,12349
10,2,3,14577
10,2,4,15810
10,2,5,16268
10,2,6,15517
10,2,7,16825
10,2,8,17456
10,2,9,17208
10,2,10,18941
10,2,11,18904
10,2,12,17303
10,2,13,19489
10,2,14,19955
10,2,15,18707
10,2,16,19697
10,2,17,20561
10,2,18,17681
10,3,1,10182
10,3,2,12344
10,3,3,15591
10,3,4,15512
10,3,5,15856
10,3,6,16763
10,3,7,16924
10,3,8,17823
10,3,9,19044
10,3,10,19847
10,3,11,19468
10,3,12,19457
10,3,13,19980
10,3,14,19013
10,3,15,20988
10,3,16,20317
10,3,17,21811
10,3,18,21021
10,4,1,9717.5
10,4,2,13128
10,4,3,15884
10,4,4,16618
10,4,5,17027
10,4,6,16733
10,4,7,17472
10,4,8,17966
10,4,9,18797
10,4,10,19437
10,4,11,18628
10,4,12,19995
10,4,13,20833
10,4,14,18964
10,4,15,22101
10,4,16,20584
10,4,17,21975
10,4,18,21246
10,5,1,9671.6
10,5,2,13170
10,5,3,15861
10,5,4,16983
10,5,5,16406
10,5,6,16840
10,5,7,17759
10,5,8,18144
10,5,9,18295
10,5,10,18769
10,5,11,20034
10,5,12,20586
10,5,13,20963
10,5,14,19812
10,5,15,20678
10,5,16,20338
10,5,17,22459
10,5,18,21809
10,6,1,9863.8
10,6,2,13023
10,6,3,16316
10,6,4,16195
10,6,5,16330
10,6,6,17375
10,6,7,18059
10,6,8,18098
10,6,9,19412
10,6,10,20358
10,6,11,18388
10,6,12,21156
10,6,13,20117
10,6,14,20372
10,6,15,21456
10,6,16,21072
10,6,17,23075
10,6,18,22124
100,1,1,9045.7
100,1,2,12813
100,1,3,12533
100,1,4,12321
100,1,5,14598
100,1,6,13741
100,1,7,13092
100,1,8,16693
100,1,9,13056
100,1,10,14659
100,1,11,18255
100,1,12,13393
100,1,13,15583
100,1,14,18060
100,1,15,15287
100,1,16,14937
100,1,17,18676
100,1,18,14237
100,2,1,9799.9
100,2,2,12896
100,2,3,13319
100,2,4,14985
100,2,5,15296
100,2,6,16379
100,2,7,17395
100,2,8,17503
100,2,9,18437
100,2,10,19895
100,2,11,18938
100,2,12,17963
100,2,13,20294
100,2,14,19076
100,2,15,18242
100,2,16,20312
100,2,17,18829
100,2,18,19203
100,3,1,9372.9
100,3,2,12879
100,3,3,15037
100,3,4,15172
100,3,5,14891
100,3,6,17433
100,3,7,17151
100,3,8,17411
100,3,9,18875
100,3,10,17815
100,3,11,18535
100,3,12,19937
100,3,13,19581
100,3,14,19574
100,3,15,20907
100,3,16,19475
100,3,17,20703
100,3,18,20391
100,4,1,9769.1
100,4,2,13006
100,4,3,14542
100,4,4,15496
100,4,5,16116
100,4,6,16985
100,4,7,16493
100,4,8,16940
100,4,9,18585
100,4,10,18951
100,4,11,18792
100,4,12,18298
100,4,13,19334
100,4,14,19635
100,4,15,20055
100,4,16,19835
100,4,17,20325
100,4,18,20473
100,5,1,9295.4
100,5,2,12068
100,5,3,15336
100,5,4,15194
100,5,5,16037
100,5,6,17259
100,5,7,17630
100,5,8,18330
100,5,9,18929
100,5,10,19647
100,5,11,18847
100,5,12,19873
100,5,13,20157
100,5,14,19592
100,5,15,20744
100,5,16,19504
100,5,17,21070
100,5,18,20923
100,6,1,9491.4
100,6,2,12558
100,6,3,14984
100,6,4,15332
100,6,5,16328
100,6,6,17404
100,6,7,17561
100,6,8,16596
100,6,9,18696
100,6,10,19757
100,6,11,19693
100,6,12,19826
100,6,13,19243
100,6,14,18980
100,6,15,20247
100,6,16,20132
100,6,17,21086
100,6,18,20398
1000,1,1,2935.9
1000,1,2,2901.4
1000,1,3,2969.8
1000,1,4,2954.8
1000,1,5,2790.8
1000,1,6,3049.8
1000,1,7,3058.1
1000,1,8,2958.1
1000,1,9,2927.1
1000,1,10,3009.6
1000,1,11,2936.1
1000,1,12,2890
1000,1,13,2906.4
1000,1,14,2898.3
1000,1,15,2987.4
1000,1,16,2980
1000,1,17,2853.9
1000,1,18,3027.8
1000,2,1,2958.2
1000,2,2,2917.5
1000,2,3,3014.6
1000,2,4,3032.6
1000,2,5,2934.9
1000,2,6,2981.1
1000,2,7,2958.6
1000,2,8,2965.1
1000,2,9,3056.3
1000,2,10,3107.6
1000,2,11,3027.8
1000,2,12,3076.1
1000,2,13,3050.5
1000,2,14,3067.6
1000,2,15,3059.8
1000,2,16,2900.9
1000,2,17,3044.9
1000,2,18,2919.8
1000,3,1,2952.8
1000,3,2,3145.2
1000,3,3,3096.6
1000,3,4,3174.3
1000,3,5,3100.2
1000,3,6,3072.2
1000,3,7,3148.3
1000,3,8,3105
1000,3,9,3283.9
1000,3,10,3074.8
1000,3,11,3056.1
1000,3,12,3234.8
1000,3,13,3136.9
1000,3,14,3084.3
1000,3,15,3045.4
1000,3,16,3035.6
1000,3,17,3036.7
1000,3,18,3138.6
1000,4,1,3008.9
1000,4,2,2988.8
1000,4,3,3042.7
1000,4,4,3291.8
1000,4,5,3062.4
1000,4,6,3077.6
1000,4,7,3122.1
1000,4,8,3231.3
1000,4,9,3221.8
1000,4,10,3341.6
1000,4,11,3401.1
1000,4,12,2892.1
1000,4,13,3321.6
1000,4,14,3127.7
1000,4,15,3032.4
1000,4,16,3267.1
1000,4,17,3259.9
1000,4,18,3232.2
1000,5,1,3146.1
1000,5,2,2990.2
1000,5,3,3126.8
1000,5,4,3122.8
1000,5,5,3158.9
1000,5,6,3393.4
1000,5,7,3257.4
1000,5,8,3154.5
1000,5,9,3033.4
1000,5,10,3246.4
1000,5,11,3286.9
1000,5,12,3404.9
1000,5,13,3243.1
1000,5,14,3115.9
1000,5,15,3213.4
1000,5,16,3099.8
1000,5,17,2985.2
1000,5,18,3117.1
1000,6,1,3037.1
1000,6,2,3207.9
1000,6,3,3173.7
1000,6,4,3206.2
1000,6,5,3243.1
1000,6,6,3196.8
1000,6,7,3115.5
1000,6,8,3297.9
1000,6,9,3425.3
1000,6,10,3136.4
1000,6,11,3341.7
1000,6,12,3307
1000,6,13,3438.6
1000,6,14,3250.2
1000,6,15,3185.1
1000,6,16,3304.3
1000,6,17,3377.4
1000,6,18,3271.9
10000,1,1,310.06
10000,1,2,339.76
10000,1,3,420.81
10000,1,4,365.31
10000,1,5,579.53
10000,1,6,433.29
10000,1,7,458.25
10000,1,8,515.12
10000,1,9,407.65
10000,1,10,460.81
10000,1,11,288.56
10000,1,12,365.07
10000,1,13,553.53
10000,1,14,512.44
10000,1,15,375.41
10000,1,16,394.88
10000,1,17,452
10000,1,18,402.53
10000,2,1,449.06
10000,2,2,488.69
10000,2,3,449.12
10000,2,4,564.53
10000,2,5,567.93
10000,2,6,600.81
10000,2,7,619.18
10000,2,8,470.94
10000,2,9,579.38
10000,2,10,559.75
10000,2,11,567.94
10000,2,12,582.82
10000,2,13,561.06
10000,2,14,558.38
10000,2,15,600.53
10000,2,16,628.94
10000,2,17,565.82
10000,2,18,575.38
10000,3,1,416.31
10000,3,2,434
10000,3,3,392.71
10000,3,4,681.59
10000,3,5,667.35
10000,3,6,586.88
10000,3,7,607.29
10000,3,8,671.12
10000,3,9,642.12
10000,3,10,717.75
10000,3,11,605.41
