max_spout,spliters,counters,latency
1000,2,13,117.56
1000,2,14,141.81
1000,2,15,136.33
1000,2,16,116.06
1000,2,17,127.68
1000,2,18,143.95
1000,3,1,187.28
1000,3,2,166.47
1000,3,3,222.66
1000,3,4,200.43
1000,3,5,198.33
1000,3,6,192.73
1000,3,7,213.83
1000,3,8,174.86
1000,3,9,175.03
1000,3,10,184.64
1000,3,11,169.62
1000,3,12,165.5
1000,3,13,172.82
1000,3,14,167.99
1000,3,15,170.5
1000,3,16,172.84
1000,3,17,175.9
1000,3,18,167.77
1000,4,1,187.36
1000,4,2,299.39
1000,4,3,276.55
1000,4,4,231.82
1000,4,5,216.95
1000,4,6,203.82
1000,4,7,172.53
1000,4,8,191.88
1000,4,9,186.28
1000,4,10,184.06
1000,4,11,176.22
1000,4,12,184.36
1000,4,13,171.97
1000,4,14,181.57
1000,4,15,182.23
1000,4,16,170.17
1000,4,17,172.11
1000,4,18,181.4
1000,5,1,339.94
1000,5,2,266.02
1000,5,3,252.3
1000,5,4,261.79
1000,5,5,205.99
1000,5,6,199.02
1000,5,7,194.78
1000,5,8,183.07
1000,5,9,182.22
1000,5,10,184.45
1000,5,11,182.63
1000,5,12,182.82
1000,5,13,171.3
1000,5,14,179.53
1000,5,15,172.62
1000,5,16,190.48
1000,5,17,172.09
1000,5,18,171.49
1000,6,1,176.28
1000,6,2,146.53
1000,6,3,217.53
1000,6,4,192.37
1000,6,5,200.39
1000,6,6,196.18
1000,6,7,224.07
1000,6,8,161.93
1000,6,9,181.57
1000,6,10,177.52
1000,6,11,174.12
1000,6,12,174.74
1000,6,13,169.2
1000,6,14,161.42
1000,6,15,170.22
1000,6,16,193.45
1000,6,17,195.48
1000,6,18,173.16
10000,1,1,2008.5
10000,1,2,1682.6
10000,1,3,1808.1
10000,1,4,1529.5
10000,1,5,1516
10000,1,6,1499.3
10000,1,7,1727.8
10000,1,8,1376.4
10000,1,9,1468.8
10000,1,10,1472.5
10000,1,11,1394.4
10000,1,12,1539.4
10000,1,13,1595.8
10000,1,14,1544.4
10000,1,15,1544.7
10000,1,16,1635
10000,1,17,1643
10000,1,18,1565.8
10000,2,1,2735.3
10000,2,2,2043.7
10000,2,3,1588.4
10000,2,4,1857.9
10000,2,5,1746.6
10000,2,6,1539
10000,2,7,1301.6
10000,2,8,1722
10000,2,9,1407.6
10000,2,10,1463.6
10000,2,11,1183.4
10000,2,12,1169.3
10000,2,13,387.57
10000,2,14,1100.8
10000,2,15,1165.2
10000,2,16,364.41
10000,2,17,1279.5
10000,2,18,1186.4
10000,3,1,1811.1
10000,3,2,818.08
10000,3,3,833.19
10000,3,4,1140.1
10000,3,5,816.86
10000,3,6,766.41
10000,3,7,777.49
10000,3,8,748.62
10000,3,9,731.92
10000,3,10,816.4
10000,3,11,823.45
10000,3,12,783.82
10000,3,13,736.47
10000,3,14,792.73
10000,3,15,754.76
10000,3,16,753.81
10000,3,17,816.52
10000,3,18,792.96
10000,4,1,1726.8
10000,4,2,1123.6
10000,4,3,1007.8
10000,4,4,891.95
10000,4,5,876.83
10000,4,6,775.03
10000,4,7,722.58
10000,4,8,851.16
10000,4,9,914.21
10000,4,10,812.86
10000,4,11,791.7
10000,4,12,783.54
10000,4,13,784.23
10000,4,14,828.62
10000,4,15,803.04
10000,4,16,799.13
10000,4,17,877.9
10000,4,18,836.73
10000,5,1,1486.5
10000,5,2,1029.5
10000,5,3,981.23
10000,5,4,999.54
10000,5,5,815.89
10000,5,6,855.65
10000,5,7,825.5
10000,5,8,770.37
10000,5,9,760.35
10000,5,10,805.67
10000,5,11,830.78
10000,5,12,775.45
10000,5,13,791.56
10000,5,14,820.87
10000,5,15,810.04
10000,5,16,827.04
10000,5,17,789.22
10000,5,18,791.62
10000,6,1,1267.7
10000,6,2,425.77
10000,6,3,904.03
10000,6,4,743.21
10000,6,5,681.48
10000,6,6,552.38
10000,6,7,835.76
10000,6,8,453.5
10000,6,9,489.29
10000,6,10,468.44
10000,6,11,513.58
10000,6,12,541.08
10000,6,13,522.78
10000,6,14,494.8
10000,6,15,478.39
10000,6,16,503.7
10000,6,17,524.66
10000,6,18,591.56
1.00E+05,1,1,20990
1.00E+05,1,2,16829
1.00E+05,1,3,15169
1.00E+05,1,4,15073
1.00E+05,1,5,14235
1.00E+05,1,6,15049
1.00E+05,1,7,16088
1.00E+05,1,8,14336
1.00E+05,1,9,14309
1.00E+05,1,10,13340
1.00E+05,1,11,12569
1.00E+05,1,12,13977
1.00E+05,1,13,14273
1.00E+05,1,14,15405
1.00E+05,1,15,15257
1.00E+05,1,16,14063
1.00E+05,1,17,15927
1.00E+05,1,18,14608
1.00E+05,2,1,25965
1.00E+05,2,2,17940
1.00E+05,2,3,15448
1.00E+05,2,4,18328
1.00E+05,2,5,14625
1.00E+05,2,6,14513
1.00E+05,2,7,11657
1.00E+05,2,8,14804
1.00E+05,2,9,11549
1.00E+05,2,10,14685
1.00E+05,2,11,11936
1.00E+05,2,12,10377
1.00E+05,2,13,789.55
1.00E+05,2,14,10531
1.00E+05,2,15,10245
1.00E+05,2,16,503.57
1.00E+05,2,17,10676
1.00E+05,2,18,11850
1.00E+05,3,1,15033
1.00E+05,3,2,709.56
1.00E+05,3,3,806.48
1.00E+05,3,4,1229.4
1.00E+05,3,5,825.53
1.00E+05,3,6,831.75
1.00E+05,3,7,820.29
1.00E+05,3,8,737.65
1.00E+05,3,9,925.43
1.00E+05,3,10,791.55
1.00E+05,3,11,773.62
1.00E+05,3,12,806.52
1.00E+05,3,13,886.67
1.00E+05,3,14,791.86
1.00E+05,3,15,756.68
1.00E+05,3,16,868.23
1.00E+05,3,17,883.79
1.00E+05,3,18,812.4
1.00E+05,4,1,16401
1.00E+05,4,2,1152
1.00E+05,4,3,1175.7
1.00E+05,4,4,897.75
1.00E+05,4,5,820.19
1.00E+05,4,6,852.67
1.00E+05,4,7,796.09
1.00E+05,4,8,910.94
1.00E+05,4,9,816.63
1.00E+05,4,10,759.54
1.00E+05,4,11,784.34
1.00E+05,4,12,830.79
1.00E+05,4,13,876.54
1.00E+05,4,14,918.63
1.00E+05,4,15,878.43
1.00E+05,4,16,860.13
1.00E+05,4,17,895.5
1.00E+05,4,18,883.67
1.00E+05,5,1,1347.7
1.00E+05,5,2,1027.4
1.00E+05,5,3,923.03
1.00E+05,5,4,1023.2
1.00E+05,5,5,841.33
1.00E+05,5,6,848.9
1.00E+05,5,7,848.09
1.00E+05,5,8,868.4
1.00E+05,5,9,800.45
1.00E+05,5,10,853.41
1.00E+05,5,11,827.53
1.00E+05,5,12,825.91
1.00E+05,5,13,840.33
1.00E+05,5,14,891.42
1.00E+05,5,15,1249.1
1.00E+05,5,16,931.08
1.00E+05,5,17,843.75
1.00E+05,5,18,813.39
1.00E+05,6,1,11450
1.00E+05,6,2,440.37
1.00E+05,6,3,877.35
1.00E+05,6,4,662.96
1.00E+05,6,5,756.13
1.00E+05,6,6,570.68
1.00E+05,6,7,827.65
1.00E+05,6,8,476.85
1.00E+05,6,9,528.03
1.00E+05,6,10,551.68
1.00E+05,6,11,528.02
1.00E+05,6,12,539.73
1.00E+05,6,13,552.56
1.00E+05,6,14,487.01
1.00E+05,6,15,525.63
1.00E+05,6,16,535.45
1.00E+05,6,17,652.28
1.00E+05,6,18,601.95
1.00E+06,1,1,91578
1.00E+06,1,2,85691
1.00E+06,1,3,82187
1.00E+06,1,4,83689
1.00E+06,1,5,48267
1.00E+06,1,6,53340
1.00E+06,1,7,71448
1.00E+06,1,8,37269
1.00E+06,1,9,33086
1.00E+06,1,10,40071
1.00E+06,1,11,40881
1.00E+06,1,12,40805
1.00E+06,1,13,55477
1.00E+06,1,14,36603
1.00E+06,1,15,40213
1.00E+06,1,16,60552
1.00E+06,1,17,55374
1.00E+06,1,18,44566
1.00E+06,2,1,94553
1.00E+06,2,2,85782
1.00E+06,2,3,83512
1.00E+06,2,4,63627
1.00E+06,2,5,81802
1.00E+06,2,6,56665
1.00E+06,2,7,27969
1.00E+06,2,8,30348
1.00E+06,2,9,23656
1.00E+06,2,10,40896
1.00E+06,2,11,24278
1.00E+06,2,12,17401
1.00E+06,2,13,390.52
1.00E+06,2,14,26320
1.00E+06,2,15,17328
1.00E+06,2,16,309.65
1.00E+06,2,17,37087
1.00E+06,2,18,11246
1.00E+06,3,1,30521
1.00E+06,3,2,720.35
1.00E+06,3,3,834.66
1.00E+06,3,4,1052.8
1.00E+06,3,5,838.11
1.00E+06,3,6,784.2
1.00E+06,3,7,808.05
1.00E+06,3,8,812.82
1.00E+06,3,9,775.45
1.00E+06,3,10,827.55
1.00E+06,3,11,707.08
1.00E+06,3,12,853.42
1.00E+06,3,13,753.06
1.00E+06,3,14,810.27
1.00E+06,3,15,860.92
1.00E+06,3,16,796.91
1.00E+06,3,17,853.96
1.00E+06,3,18,871.26
1.00E+06,4,1,27361
1.00E+06,4,2,1210.1
1.00E+06,4,3,963.54
1.00E+06,4,4,897.43
1.00E+06,4,5,911.8
1.00E+06,4,6,853.63
1.00E+06,4,7,803.82
1.00E+06,4,8,860.01
1.00E+06,4,9,857.03
1.00E+06,4,10,824.36
1.00E+06,4,11,799.59
1.00E+06,4,12,920.88
1.00E+06,4,13,792.39
1.00E+06,4,14,842.9
1.00E+06,4,15,821.53
1.00E+06,4,16,873.29
1.00E+06,4,17,1011.6
1.00E+06,4,18,952.86
1.00E+06,5,1,1546.7
1.00E+06,5,2,1020.6
1.00E+06,5,3,973.83
1.00E+06,5,4,992.83
1.00E+06,5,5,821.36
1.00E+06,5,6,863.05
1.00E+06,5,7,887.94
1.00E+06,5,8,895.41
1.00E+06,5,9,865.8
1.00E+06,5,10,808.49
1.00E+06,5,11,888.87
1.00E+06,5,12,838.89
1.00E+06,5,13,824.38
1.00E+06,5,14,811.7
1.00E+06,5,15,965.73
1.00E+06,5,16,835.93
1.00E+06,5,17,846.58
1.00E+06,5,18,829.28
1.00E+06,6,1,6031.5
1.00E+06,6,2,447.48
1.00E+06,6,3,874.17
1.00E+06,6,4,653.92
1.00E+06,6,5,696.02
1.00E+06,6,6,618.01
1.00E+06,6,7,904.82
1.00E+06,6,8,552.01
1.00E+06,6,9,488.02
1.00E+06,6,10,549.69
1.00E+06,6,11,505.23
1.00E+06,6,12,514.16
1.00E+06,6,13,529.31
1.00E+06,6,14,518.26
1.00E+06,6,15,522.62
1.00E+06,6,16,514.45
1.00E+06,6,17,520.84
1.00E+06,6,18,531.32
