spout_wait,spliters,counters,latency
9,3,4,219.19
9,3,5,213.66
9,3,6,192.62
9,3,7,197.1
9,3,8,197.01
9,3,9,175.62
9,3,10,174.74
9,3,11,171.72
9,3,12,183.96
9,3,13,176.51
9,3,14,185.53
9,3,15,168.49
9,3,16,161.78
9,3,17,160.14
9,3,18,164.47
9,4,1,322.8
9,4,2,258.72
9,4,3,212.77
9,4,4,217.16
9,4,5,214.04
9,4,6,197.42
9,4,7,197.92
9,4,8,190.93
9,4,9,167.79
9,4,10,182.91
9,4,11,185.42
9,4,12,179.91
9,4,13,174.24
9,4,14,181.76
9,4,15,187.65
9,4,16,185.49
9,4,17,168.06
9,4,18,170.49
9,5,1,316.06
9,5,2,243.27
9,5,3,201.36
9,5,4,201.43
9,5,5,208.98
9,5,6,209.78
9,5,7,189.62
9,5,8,206.04
9,5,9,173.34
9,5,10,171.34
9,5,11,173.24
9,5,12,158.53
9,5,13,169.62
9,5,14,180.53
9,5,15,172.75
9,5,16,176.73
9,5,17,176.65
9,5,18,173.76
9,6,1,324.44
9,6,2,223.74
9,6,3,217.33
9,6,4,208.52
9,6,5,186.04
9,6,6,185.27
9,6,7,183.29
9,6,8,199.41
9,6,9,183.61
9,6,10,167.61
9,6,11,180.32
9,6,12,174.72
9,6,13,165.89
9,6,14,170.67
9,6,15,150.5
9,6,16,174.91
9,6,17,156.83
9,6,18,161.93
10,1,1,342.47
10,1,2,267.27
10,1,3,250.23
10,1,4,237.03
10,1,5,222.5
10,1,6,247.31
10,1,7,245.03
10,1,8,196.1
10,1,9,241.89
10,1,10,221.94
10,1,11,190.95
10,1,12,227.36
10,1,13,214.05
10,1,14,186.54
10,1,15,222.97
10,1,16,225.61
10,1,17,177.55
10,1,18,215.93
10,2,1,346.29
10,2,2,254.6
10,2,3,228.04
10,2,4,202.69
10,2,5,210.49
10,2,6,215.88
10,2,7,218.02
10,2,8,192.31
10,2,9,191.22
10,2,10,178.26
10,2,11,207.41
10,2,12,197.55
10,2,13,180.86
10,2,14,182.25
10,2,15,198.29
10,2,16,183.34
10,2,17,169.34
10,2,18,178.08
10,3,1,325.3
10,3,2,243.08
10,3,3,201.09
10,3,4,212.82
10,3,5,202.08
10,3,6,195.99
10,3,7,207.96
10,3,8,190.81
10,3,9,186
10,3,10,178.65
10,3,11,179.44
10,3,12,188.04
10,3,13,175.03
10,3,14,177.87
10,3,15,164.47
10,3,16,186.57
10,3,17,153.72
10,3,18,151.23
10,4,1,316.82
10,4,2,240.19
10,4,3,199.69
10,4,4,204.52
10,4,5,194.44
10,4,6,210.48
10,4,7,212.51
10,4,8,204.85
10,4,9,172.09
10,4,10,177.05
10,4,11,184.06
10,4,12,187.02
10,4,13,173.95
10,4,14,170.48
10,4,15,187.55
10,4,16,198.8
10,4,17,148.88
10,4,18,167.25
10,5,1,353.56
10,5,2,246.1
10,5,3,204.87
10,5,4,201.08
10,5,5,195.69
10,5,6,201.65
10,5,7,207.33
10,5,8,183.74
10,5,9,187.85
10,5,10,186.53
10,5,11,182.58
10,5,12,178.32
10,5,13,170.36
10,5,14,180.47
10,5,15,193.39
10,5,16,168.89
10,5,17,172.35
10,5,18,172.16
10,6,1,337.42
10,6,2,237.15
10,6,3,193.64
10,6,4,204.42
10,6,5,216.8
10,6,6,181.86
10,6,7,207.27
10,6,8,193.22
10,6,9,171.73
10,6,10,165.67
10,6,11,187.7
10,6,12,164.13
10,6,13,186.26
10,6,14,183.94
10,6,15,162.78
10,6,16,163.99
10,6,17,158.68
10,6,18,148.88
100,1,1,378
100,1,2,243.89
100,1,3,246.22
100,1,4,252.99
100,1,5,221.46
100,1,6,236.59
100,1,7,249.67
100,1,8,190.83
100,1,9,239.95
100,1,10,207.97
100,1,11,169
100,1,12,243.11
100,1,13,223.3
100,1,14,178.85
100,1,15,213.8
100,1,16,231.47
100,1,17,174.21
100,1,18,226.72
100,2,1,315.4
100,2,2,247.46
100,2,3,244.38
100,2,4,209.07
100,2,5,207.54
100,2,6,198.23
100,2,7,189.31
100,2,8,204.08
100,2,9,190.42
100,2,10,175.71
100,2,11,165.46
100,2,12,178.49
100,2,13,166.84
100,2,14,175.27
100,2,15,183.88
100,2,16,168.15
100,2,17,166.87
100,2,18,191.8
100,3,1,361.65
100,3,2,259.1
100,3,3,208.78
100,3,4,201.62
100,3,5,196.59
100,3,6,185.36
100,3,7,198.51
100,3,8,198.24
100,3,9,189.26
100,3,10,170.33
100,3,11,188.22
100,3,12,171.24
100,3,13,175.88
100,3,14,186.71
100,3,15,163.76
100,3,16,186.05
100,3,17,167.8
100,3,18,168.52
100,4,1,325.13
100,4,2,253.35
100,4,3,210.82
100,4,4,208.09
100,4,5,201.95
100,4,6,185.27
100,4,7,196.33
100,4,8,195.91
100,4,9,182.07
100,4,10,185
100,4,11,194.7
100,4,12,163.24
100,4,13,179.21
100,4,14,169.76
100,4,15,173.45
100,4,16,182.61
100,4,17,150.78
100,4,18,165.86
100,5,1,336.72
100,5,2,263.26
100,5,3,213.83
100,5,4,217.83
100,5,5,205.89
100,5,6,193.78
100,5,7,176.34
100,5,8,196.8
100,5,9,192.09
100,5,10,169.28
100,5,11,186.86
100,5,12,175.07
100,5,13,168.73
100,5,14,162.97
100,5,15,168.1
100,5,16,159.93
100,5,17,157.21
100,5,18,152.44
100,6,1,342.07
100,6,2,244.74
100,6,3,218.27
100,6,4,212.66
100,6,5,208.73
100,6,6,176.71
100,6,7,192.48
100,6,8,187.27
100,6,9,179.8
100,6,10,187.79
100,6,11,161.26
100,6,12,167.6
100,6,13,178.45
100,6,14,163.43
100,6,15,165.53
100,6,16,172.29
100,6,17,162.27
100,6,18,177.98
1000,1,1,959.69
1000,1,2,969.27
1000,1,3,923.39
1000,1,4,948.42
1000,1,5,932.62
1000,1,6,933.84
1000,1,7,941.23
1000,1,8,932.37
1000,1,9,923.01
1000,1,10,942.92
1000,1,11,944.68
1000,1,12,962.59
1000,1,13,927.94
1000,1,14,932.47
1000,1,15,917.76
1000,1,16,912.21
1000,1,17,925.21
1000,1,18,921.52
1000,2,1,963.07
1000,2,2,911.22
1000,2,3,859.05
1000,2,4,855.55
1000,2,5,837.33
1000,2,6,829.61
1000,2,7,869.31
1000,2,8,837.77
1000,2,9,857.09
1000,2,10,850.37
1000,2,11,832.18
1000,2,12,856.32
1000,2,13,848.72
1000,2,14,826.82
1000,2,15,854.01
1000,2,16,860.72
1000,2,17,833.58
1000,2,18,845.39
1000,3,1,953.22
1000,3,2,895.01
1000,3,3,882.97
1000,3,4,802.5
1000,3,5,801.39
1000,3,6,791.1
1000,3,7,818.28
1000,3,8,818.54
1000,3,9,763.71
1000,3,10,789.44
1000,3,11,795.38
1000,3,12,819.08
1000,3,13,821.6
1000,3,14,819.15
1000,3,15,797
1000,3,16,816.61
1000,3,17,798.57
1000,3,18,775.97
1000,4,1,955.96
1000,4,2,882.21
1000,4,3,833.36
1000,4,4,780.65
1000,4,5,801.36
1000,4,6,805.8
1000,4,7,801.62
1000,4,8,807.8
1000,4,9,770.14
1000,4,10,779.94
1000,4,11,792.82
1000,4,12,784.93
1000,4,13,772.51
1000,4,14,775.05
1000,4,15,806.81
1000,4,16,794.02
1000,4,17,748.03
1000,4,18,782.25
1000,5,1,926.97
1000,5,2,906.51
1000,5,3,825.33
1000,5,4,841.94
1000,5,5,813.99
1000,5,6,781.84
1000,5,7,806.53
1000,5,8,776.68
1000,5,9,807.41
1000,5,10,746.88
1000,5,11,750.82
1000,5,12,747.75
1000,5,13,758.18
1000,5,14,815.55
1000,5,15,735.29
1000,5,16,787.33
1000,5,17,768.3
1000,5,18,745.67
1000,6,1,920.68
1000,6,2,851.97
1000,6,3,874.34
1000,6,4,798.38
1000,6,5,789.55
1000,6,6,792.48
1000,6,7,816.13
1000,6,8,752.06
1000,6,9,724.93
1000,6,10,763.98
1000,6,11,763.75
1000,6,12,759.06
1000,6,13,748.1
1000,6,14,773.71
1000,6,15,756.12
1000,6,16,741.87
1000,6,17,739.18
1000,6,18,776.86
10000,1,1,9421
10000,1,2,8318.7
10000,1,3,6962.9
10000,1,4,7893.6
10000,1,5,4820.2
10000,1,6,7637.4
10000,1,7,7869.6
10000,1,8,6573.1
10000,1,9,7631.9
10000,1,10,8761.6
10000,1,11,7908.9
10000,1,12,9098.9
10000,1,13,7139.4
10000,1,14,5550.6
10000,1,15,7905.4
10000,1,16,7252
10000,1,17,6381.3
10000,1,18,8797.5
10000,2,1,7756.5
10000,2,2,7129.9
10000,2,3,8028.7
10000,2,4,5758.6
10000,2,5,6402.4
10000,2,6,6438.1
10000,2,7,4173.2
10000,2,8,6694.7
10000,2,9,6812.1
10000,2,10,6228.3
10000,2,11,5515.8
10000,2,12,6109.2
10000,2,13,6205.9
10000,2,14,6291.2
10000,2,15,6012.5
10000,2,16,5072.2
10000,2,17,6729.5
10000,2,18,6187.6
10000,3,1,7782.2
10000,3,2,7092.8
10000,3,3,8358.5
10000,3,4,5946.3
10000,3,5,5665.9
10000,3,6,6634.3
10000,3,7,6151
10000,3,8,5990.3
10000,3,9,5976.3
10000,3,10,6070.1
10000,3,11,6333.2
